item;E;A;C;N;O;;
1;0,73;-0,25;0,05;0,09;-0,04;;
16;-0,78;-0,05;0;-0,08;0,07;;
31;-0,67;-0,04;-0,05;-0,22;0,12;;
46;0,78;-0,01;-0,04;-0,01;0,02;;
6;0,65;0,17;0,18;0,2;0,24;;
21;0,67;0,29;0,18;0,1;0,19;;
36;-0,33;-0,32;-0,01;-0,06;-0,36;;
51;-0,61;-0,2;-0,24;-0,08;-0,25;;
11;-0,34;0,26;-0,05;-0,08;-0,35;;
26;-0,4;0,13;-0,16;-0,07;-0,38;;
41;0,61;-0,19;0,13;0,27;0,09;;
56;0,61;-0,27;0;0,05;0,25;;
2;0,13;-0,64;0,1;-0,15;0,12;;
17;-0,1;0,7;-0,01;0,23;-0,16;;
32;0,17;-0,61;0,26;-0,04;0,14;;
47;0,03;0,63;-0,12;0,01;0,1;;
7;-0,09;-0,57;0,17;0,09;0,22;;
22;0,25;0,59;-0,07;-0,19;-0,08;;
37;0,16;0,62;-0,16;-0,22;0,03;;
52;-0,13;-0,55;0,28;0,08;0,22;;
12;0,09;0,53;-0,09;-0,17;0;;
27;0,07;-0,53;-0,13;0,02;0,05;;
42;-0,17;0,37;-0,03;-0,21;0,18;;
57;0,12;-0,52;0,03;0,18;0,03;;
3;0,04;-0,05;-0,61;-0,3;0,01;;
18;0,02;0,04;0,82;0,03;-0,03;;
33;0,06;-0,03;0,78;0;-0,08;;
48;0;0,12;-0,71;-0,06;0,09;;
8;-0,17;0,12;-0,66;-0,02;0;;
23;-0,18;0,06;-0,6;0;-0,04;;
38;0,22;0,05;0,71;0,08;0,13;;
53;0,1;-0,09;0,71;0,01;0,12;;
13;-0,02;-0,2;0,57;0,26;-0,09;;
28;-0,03;0,09;-0,63;0,07;-0,06;;
43;0,07;-0,24;0,61;0,03;0,03;;
58;0,11;0,12;-0,66;-0,07;0;;
4;0,16;0,07;0,02;0,7;0,06;;
19;-0,2;0,09;0,04;-0,61;0,11;;
34;-0,06;-0,07;0,15;-0,67;0,13;;
49;0,18;0,08;0,05;0,63;-0,13;;
9;0,2;-0,16;-0,04;0,57;0,15;;
24;0,37;0,09;0,16;0,55;0,1;;
39;-0,26;0,16;-0,03;-0,73;0,08;;
54;-0,29;0,22;-0,02;-0,69;0,09;;
14;0,05;0,23;-0,16;-0,7;0,01;;
29;0,02;-0,06;0,13;0,83;0;;
44;-0,16;0,01;0,24;0,63;0,1;;
59;0,16;0,1;-0,21;-0,73;-0,05;;
10;0,3;-0,01;0,03;0,12;0,47;;
25;0,08;-0,1;0,02;-0,02;-0,66;;
40;-0,09;-0,03;0,13;-0,06;0,61;;
55;0,03;0,08;0,1;0,01;-0,73;;
5;0,06;0,19;0,03;0,11;-0,59;;
20;-0,02;-0,08;-0,06;-0,17;0,64;;
35;0,03;-0,18;0,02;-0,1;0,62;;
50;-0,04;0,28;-0,05;0,13;-0,5;;
15;0,32;0,12;0,14;0,14;0,51;;
30;-0,3;0,06;-0,01;-0,03;-0,61;;
45;-0,15;-0,01;0,07;-0,07;-0,64;;
60;0,42;0,1;0,06;0,09;0,56;;
