"IDan","Group","Gender","GenderF","Merkel","Sudety","Education","Education123","PrePANASpn","PrePANASp","PrePANASn","PostPANASpn","PostPANASp","PostPANASn","DelPANASpn","DelPANASp","DelPANASn","Post_PrePANASpn","Post_PrePANASp","Post_PrePANASn","Del_PostPANASpn","Del_PostPANASp","Del_PostPANASn","PreMacro","PostMacro","DelMacro","Post_PreMacro","Del_PostMacro","PreMicro","PreMicro_p","PreMicro_n","PostMicro","PostMicro_p","PostMicro_n","DelMicro","DelMicro_p","DelMicro_n","Post_PreMicro","Post_PreMicro_p","Post_PreMicro_n","Del_PostMicro","Del_PostMicro_p","Del_PostMicro_n","PreIATeffect","PostIATeffect","DelIATeffect","Post_PreIATeffect","Del_PostIATeffect","PrePANAS_01","PrePANAS_02","PrePANAS_03","PrePANAS_04","PrePANAS_05","PrePANAS_06","PrePANAS_07","PrePANAS_08","PrePANAS_09","PrePANAS_10","PrePANAS_11","PrePANAS_12","PrePANAS_13","PrePANAS_14","PrePANAS_15","PrePANAS_16","PrePANAS_17","PrePANAS_18","PrePANAS_19","PrePANAS_20","PostPANAS_01","PostPANAS_02","PostPANAS_03","PostPANAS_04","PostPANAS_05","PostPANAS_06","PostPANAS_07","PostPANAS_08","PostPANAS_09","PostPANAS_10","PostPANAS_11","PostPANAS_12","PostPANAS_13","PostPANAS_14","PostPANAS_15","PostPANAS_16","PostPANAS_17","PostPANAS_18","PostPANAS_19","PostPANAS_20","DelPANAS_01","DelPANAS_02","DelPANAS_03","DelPANAS_04","DelPANAS_05","DelPANAS_06","DelPANAS_07","DelPANAS_08","DelPANAS_09","DelPANAS_10","DelPANAS_11","DelPANAS_12","DelPANAS_13","DelPANAS_14","DelPANAS_15","DelPANAS_16","DelPANAS_17","DelPANAS_18","DelPANAS_19","DelPANAS_20","Post_PrePANAS_01","Post_PrePANAS_02","Post_PrePANAS_03","Post_PrePANAS_04","Post_PrePANAS_05","Post_PrePANAS_06","Post_PrePANAS_07","Post_PrePANAS_08","Post_PrePANAS_09","Post_PrePANAS_10","Post_PrePANAS_11","Post_PrePANAS_12","Post_PrePANAS_13","Post_PrePANAS_14","Post_PrePANAS_15","Post_PrePANAS_16","Post_PrePANAS_17","Post_PrePANAS_18","Post_PrePANAS_19","Post_PrePANAS_20","Del_PostPANAS_01","Del_PostPANAS_02","Del_PostPANAS_03","Del_PostPANAS_04","Del_PostPANAS_05","Del_PostPANAS_06","Del_PostPANAS_07","Del_PostPANAS_08","Del_PostPANAS_09","Del_PostPANAS_10","Del_PostPANAS_11","Del_PostPANAS_12","Del_PostPANAS_13","Del_PostPANAS_14","Del_PostPANAS_15","Del_PostPANAS_16","Del_PostPANAS_17","Del_PostPANAS_18","Del_PostPANAS_19","Del_PostPANAS_20","PreMacro_01","PreMacro_02","PreMacro_03","PreMacro_04","PreMacro_05","PreMacro_06","PreMacro_07","PostMacro_01","PostMacro_02","PostMacro_03","PostMacro_04","PostMacro_05","PostMacro_06","PostMacro_07","DelMacro_01","DelMacro_02","DelMacro_03","DelMacro_04","DelMacro_05","DelMacro_06","DelMacro_07","Post_PreMacro_01","Post_PreMacro_02","Post_PreMacro_03","Post_PreMacro_04","Post_PreMacro_05","Post_PreMacro_06","Post_PreMacro_07","Del_PostMacro_01","Del_PostMacro_02","Del_PostMacro_03","Del_PostMacro_04","Del_PostMacro_05","Del_PostMacro_06","Del_PostMacro_07","PreMicro_01","PreMicro_02","PreMicro_03","PreMicro_04","PreMicro_05","PreMicro_06","PreMicro_07","PreMicro_08","PreMicro_09","PreMicro_10","PostMicro_01","PostMicro_02","PostMicro_03","PostMicro_04","PostMicro_05","PostMicro_06","PostMicro_07","PostMicro_08","PostMicro_09","PostMicro_10","DelMicro_01","DelMicro_02","DelMicro_03","DelMicro_04","DelMicro_05","DelMicro_06","DelMicro_07","DelMicro_08","DelMicro_09","DelMicro_10","Post_PreMicro_01","Post_PreMicro_02","Post_PreMicro_03","Post_PreMicro_04","Post_PreMicro_05","Post_PreMicro_06","Post_PreMicro_07","Post_PreMicro_08","Post_PreMicro_09","Post_PreMicro_10","Del_PostMicro_01","Del_PostMicro_02","Del_PostMicro_03","Del_PostMicro_04","Del_PostMicro_05","Del_PostMicro_06","Del_PostMicro_07","Del_PostMicro_08","Del_PostMicro_09","Del_PostMicro_10","PreMacro_time","PostMacro_time","DelMacro_time","PreMicro_time","PostMicro_time","DelMicro_time"
205,"C","male",0,0,"N","V",3,43,25,18,62,16,14,NA,NA,NA,19,-9,-4,NA,NA,NA,0,1,NA,1,NA,35,26,9,34,25,9,NA,NA,NA,-1,-1,0,NA,NA,NA,-0.303981156982491,-0.492220289992543,NA,-0.188239133010052,NA,4,2,3,5,2,2,1,1,2,1,1,2,1,2,2,2,4,1,3,2,2,1,1,3,2,1,1,1,2,1,2,2,1,1,2,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-1,-2,-2,0,-1,0,0,0,0,1,0,0,-1,0,-1,-2,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0,-2,0,-1,2,2,-1,0,1,2,-2,-1,2,NA,NA,NA,NA,NA,NA,NA,0,0,3,2,-1,-3,0,NA,NA,NA,NA,NA,NA,NA,3,1,7,3,7,1,1,5,3,4,5,1,7,5,6,1,1,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,2,-1,0,0,-2,-2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,"C","male",0,0,"N","V",3,48,38,10,84,34,10,NA,NA,NA,36,-4,0,NA,NA,NA,-4,-3,NA,1,NA,21,12,9,19,11,8,NA,NA,NA,-2,-1,-1,NA,NA,NA,-0.347579392927487,-0.758976906545699,NA,-0.411397513618212,NA,5,1,4,1,4,1,1,1,4,3,1,1,1,3,1,4,5,1,5,1,4,1,3,1,3,1,1,1,4,2,1,3,1,4,1,3,4,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0,-1,0,-1,0,0,0,0,-1,0,2,0,1,0,-1,-1,0,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,-1,-1,-1,-2,2,0,0,-1,-1,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,-1,NA,NA,NA,NA,NA,NA,NA,3,1,3,5,3,1,1,2,1,1,3,1,4,3,2,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,-2,-1,0,1,-1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,"C","female",1,0,"N","V",3,34,23,11,71,25,14,NA,NA,NA,37,2,3,NA,NA,NA,-5,-6,NA,-1,NA,20,9,11,24,10,14,NA,NA,NA,4,1,3,NA,NA,NA,-0.787031294798544,-0.0847784332231761,NA,0.702252861575367,NA,3,2,1,1,3,1,1,1,2,1,1,3,1,3,1,3,2,1,2,1,4,3,3,1,1,2,1,1,3,2,2,1,1,3,1,3,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,-2,1,0,0,1,1,1,-2,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0,-1,-1,-1,-1,0,-1,0,-2,-1,-1,-1,0,NA,NA,NA,NA,NA,NA,NA,0,0,-1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,3,4,2,2,2,1,2,1,2,7,3,2,3,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,0,-2,1,0,0,0,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,"C","female",1,0,"N","V",3,46,23,23,67,19,12,NA,NA,NA,21,-4,-11,NA,NA,NA,-7,-7,NA,0,NA,23,9,14,18,9,9,NA,NA,NA,-5,0,-5,NA,NA,NA,0.480382024266292,-0.0537956125711282,NA,-0.53417763683742,NA,3,2,2,3,3,2,1,2,1,3,4,1,1,1,3,2,4,1,3,4,3,1,1,1,2,1,1,1,2,3,2,2,1,1,2,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,-1,-2,-1,-1,0,-1,1,0,-2,1,0,0,-1,0,-2,0,-2,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-2,0,-2,-2,0,0,-1,-2,0,-2,-2,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,7,2,1,3,1,4,2,1,1,1,2,2,1,4,1,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-5,0,0,1,0,0,-1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,"C","male",0,0,"N","S",2,28,17,11,64,17,13,NA,NA,NA,36,0,2,NA,NA,NA,-10,-11,NA,-1,NA,14,7,7,12,7,5,NA,NA,NA,-2,0,-2,NA,NA,NA,-1.12837301758602,-0.816608071664903,NA,0.311764945921114,NA,3,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,1,2,1,3,1,2,1,1,2,1,1,2,1,2,1,2,2,1,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-2,-1,-2,-2,-2,0,-1,-2,-1,-2,-2,-2,-1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-1,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,-1,0,0,-1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,"C","female",1,0,"N","S",2,31,17,14,64,17,13,NA,NA,NA,33,0,-1,NA,NA,NA,-13,-13,NA,0,NA,23,9,14,19,8,11,NA,NA,NA,-4,-1,-3,NA,NA,NA,-0.854578028214111,-0.22757575252878,NA,0.62700227568533,NA,3,3,1,1,3,1,1,1,1,1,1,1,2,1,1,1,3,1,2,2,4,2,1,1,1,1,1,1,2,1,2,1,2,1,1,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1,0,0,-2,0,0,0,1,0,1,0,0,0,0,2,-1,0,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,5,4,3,1,2,1,1,2,1,2,3,4,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,0,0,-2,0,-1,0,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,"C","male",0,0,"N","S",2,38,24,14,69,22,13,NA,NA,NA,31,-2,-1,NA,NA,NA,-3,-4,NA,-1,NA,25,17,8,26,17,9,NA,NA,NA,1,0,1,NA,NA,NA,-0.502115391254629,-0.102199864170604,NA,0.399915527084025,NA,3,2,1,1,2,1,1,1,2,2,2,3,2,3,1,2,3,1,3,2,2,3,2,1,2,1,1,1,2,1,2,3,1,2,1,2,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,1,0,0,0,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,-1,-2,-1,-1,1,1,-1,-1,-2,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,0,-1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,5,2,5,1,2,2,2,2,3,2,5,2,5,1,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,"C","male",0,0,"N","S",2,NA,NA,NA,76,33,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13,-14,NA,-1,NA,16,8,8,16,10,6,NA,NA,NA,0,2,-2,NA,NA,NA,-0.151302328597025,-0.219863491037495,NA,-0.0685611624404703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,2,4,1,1,1,3,5,4,3,1,3,2,3,4,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,-1,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,2,1,3,1,1,2,2,2,3,1,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,-1,1,0,-2,0,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,"C","male",0,0,"N","S",2,38,27,11,76,28,12,83,38,15,38,1,1,7,10,3,-7,-12,-10,-5,2,29,12,17,20,11,9,23,10,13,-9,-1,-8,3,-1,4,-0.292978133285215,0.0622523771225262,-0.165961437551132,0.355230510407741,-0.228213814673658,4,1,2,1,3,1,1,1,3,1,1,2,1,2,1,3,4,1,3,2,4,1,2,1,2,1,1,1,3,2,1,2,1,3,2,3,3,2,4,1,4,2,3,2,4,1,1,1,3,4,3,4,2,4,1,4,4,1,4,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,1,1,0,-1,1,1,-1,0,1,1,1,2,0,0,0,0,2,2,2,1,1,-1,1,1,-1,0,0,-1,-2,-1,-1,-1,-1,0,-2,-2,-2,-2,-2,-1,-1,-2,-2,-1,-2,-2,-1,0,-1,0,-1,-1,-1,0,-1,0,0,1,0,0,0,1,1,7,2,4,5,2,2,1,2,3,1,2,2,3,5,2,1,1,1,2,1,3,2,2,5,3,2,1,3,1,0,-5,0,-1,0,0,-1,0,-1,-1,0,1,0,-1,0,1,1,0,2,-1,NA,NA,NA,NA,NA,NA
232,"C","female",1,0,"N","S",2,45,31,14,73,23,10,85,35,10,28,-8,-4,12,12,0,7,5,0,-2,-5,41,25,16,37,23,14,36,23,13,-4,-2,-2,-1,0,-1,-0.0527155088661131,-0.378685896294185,0.227448770954304,-0.325970387428072,0.60613466724849,4,1,3,3,3,1,1,1,3,3,1,2,2,2,1,3,4,1,4,2,3,1,2,1,1,1,1,1,3,1,1,1,1,3,1,2,4,1,3,1,4,1,3,1,3,1,1,1,4,3,1,4,1,3,1,3,4,1,4,1,-1,0,-1,-2,-2,0,0,0,0,-2,0,-1,-1,1,0,-1,0,0,-1,-1,1,0,1,0,2,0,0,0,1,2,0,3,0,0,0,1,0,0,1,0,1,2,1,1,0,0,2,1,1,1,1,0,0,1,1,0,0,0,-1,-1,1,0,-1,0,0,0,0,-1,0,-1,-1,-1,-1,-1,0,5,5,5,4,6,2,4,5,1,4,5,3,5,5,4,2,3,5,1,4,5,2,4,5,5,1,3,5,2,4,0,-2,0,1,-2,0,-1,0,0,0,0,-1,-1,0,1,-1,0,0,1,0,NA,NA,"0:47",NA,NA,"1:40"
