GROUP_ID,IMPACT_INIT,SIGNIFICANCE_INIT,INVESTIGATOR_INIT,INNOVATION_INIT,APPROACH_INIT,ENVIRONMENT_INIT,IMPACT_FINAL,PI_RACE,PI_ID,REVIEWER_ID,APPLICATION_ID,IRG,ADMIN_ORG,SRG,APPLICATION_TYPE,AMENDED,PI_GENDER,PI_ETHNICITY,CAREER_STAGE,DEG_CATEGORY,INSTITUTION_BIN
Matched White,5,4,1,5,5,1,ND,White,3856,7883,4491,23,19,23,New,FALSE,Male,Non-Hispanic,ESI,PHD,3
Matched White,7,6,2,6,8,2,ND,White,3856,5091,4491,23,19,23,New,FALSE,Male,Non-Hispanic,ESI,PHD,3
Matched White,5,5,2,2,3,1,ND,White,3856,5487,4491,23,19,23,New,FALSE,Male,Non-Hispanic,ESI,PHD,3
Matched White,5,4,2,3,6,2,5,White,1514,1883,1914,23,19,122,New,FALSE,Male,Non-Hispanic,ESI,PHD,3
Matched White,5,5,3,4,6,3,6,White,1514,4098,1914,23,19,122,New,FALSE,Male,Non-Hispanic,ESI,PHD,3
Matched White,2,3,2,2,2,2,4,White,1514,6866,1914,23,19,122,New,FALSE,Male,Non-Hispanic,ESI,PHD,3
Matched White,3,3,2,2,3,1,2,White,3843,3930,2844,22,4,35,New,FALSE,Female,Non-Hispanic,Experienced,PHD,3
Matched White,3,4,2,3,4,2,3,White,3843,2580,2844,22,4,35,New,FALSE,Female,Non-Hispanic,Experienced,PHD,3
Matched White,2,2,2,3,2,1,2,White,3843,2315,2844,22,4,35,New,FALSE,Female,Non-Hispanic,Experienced,PHD,3
Matched White,2,2,2,2,2,2,3,White,1514,5114,3401,23,19,135,New,TRUE,Male,Non-Hispanic,ESI,PHD,3
Matched White,5,5,5,5,6,4,7,White,1514,1680,3401,23,19,135,New,TRUE,Male,Non-Hispanic,ESI,PHD,3
Matched White,6,5,3,5,7,2,6,White,1514,1532,3401,23,19,135,New,TRUE,Male,Non-Hispanic,ESI,PHD,3
Matched White,5,5,2,5,6,2,6,White,1514,2622,3401,23,19,135,New,TRUE,Male,Non-Hispanic,ESI,PHD,3
Matched White,4,4,2,5,5,3,4,White,507,4492,1323,19,4,142,New,FALSE,Male,Non-Hispanic,Experienced,PHD,3
Matched White,3,3,3,3,5,1,4,White,507,6151,1323,19,4,142,New,FALSE,Male,Non-Hispanic,Experienced,PHD,3
Matched White,4,2,2,4,5,3,4,White,507,810,1323,19,4,142,New,FALSE,Male,Non-Hispanic,Experienced,PHD,3
Matched White,5,4,2,3,5,1,ND,White,1613,3736,2436,19,4,142,New,FALSE,Male,Non-Hispanic,Experienced,PHD,3
Matched White,4,4,2,3,5,2,ND,White,1613,7384,2436,19,4,142,New,FALSE,Male,Non-Hispanic,Experienced,PHD,3
Matched White,2,2,2,3,2,1,ND,White,1613,6151,2436,19,4,142,New,FALSE,Male,Non-Hispanic,Experienced,PHD,3
Matched White,5,4,2,5,4,2,ND,White,194,3530,2960,11,15,132,New,TRUE,Male,Non-Hispanic,Experienced,PHD,3
Matched White,2,2,1,2,2,1,3,White,194,7629,2960,11,15,132,New,TRUE,Male,Non-Hispanic,Experienced,PHD,3
Matched White,1,3,1,1,2,1,3,White,194,2854,2960,11,15,132,New,TRUE,Male,Non-Hispanic,Experienced,PHD,3
Matched White,3,1,1,1,4,1,3,White,3856,4843,62,23,19,23,New,TRUE,Male,Non-Hispanic,ESI,PHD,3
Matched White,3,3,1,1,4,1,3,White,3856,7937,62,23,19,23,New,TRUE,Male,Non-Hispanic,ESI,PHD,3
Matched White,6,4,3,4,7,2,5,White,3856,5091,62,23,19,23,New,TRUE,Male,Non-Hispanic,ESI,PHD,3
Matched Black,4,3,2,2,5,2,5,Black,1124,3767,196,23,19,110,New,FALSE,Male,Non-Hispanic,Experienced,MD,3
Matched Black,4,3,2,4,4,2,5,Black,1124,2744,196,23,19,110,New,FALSE,Male,Non-Hispanic,Experienced,MD,3
Matched Black,8,8,1,7,5,1,7,Black,1124,2444,196,23,19,110,New,FALSE,Male,Non-Hispanic,Experienced,MD,3
Matched White,6,3,3,3,8,3,5,White,465,1323,2177,7,18,110,New,FALSE,Male,Non-Hispanic,Experienced,PHD,3
Matched White,4,2,1,4,5,1,4,White,465,4133,2177,7,18,110,New,FALSE,Male,Non-Hispanic,Experienced,PHD,3
Matched White,2,2,2,2,4,1,4,White,465,8194,2177,7,18,110,New,FALSE,Male,Non-Hispanic,Experienced,PHD,3
Matched White,2,2,1,1,2,1,2,White,137,4654,1468,5,19,168,New,FALSE,Male,Non-Hispanic,Non-ESI NI,PHD,3
Matched White,6,3,1,4,5,1,6,White,137,5549,1468,5,19,168,New,FALSE,Male,Non-Hispanic,Non-ESI NI,PHD,3
Matched White,6,4,2,4,7,2,6,White,137,7404,1468,5,19,168,New,FALSE,Male,Non-Hispanic,Non-ESI NI,PHD,3
Matched Black,7,5,2,3,6,3,ND,Black,1124,323,3620,19,11,9,New,FALSE,Male,Non-Hispanic,Experienced,MD,3
Matched Black,5,3,1,3,5,1,ND,Black,1124,2941,3620,19,11,9,New,FALSE,Male,Non-Hispanic,Experienced,MD,3
Matched Black,6,4,1,4,5,1,ND,Black,1124,8182,3620,19,11,9,New,FALSE,Male,Non-Hispanic,Experienced,MD,3
Matched White,2,2,2,1,3,1,2,White,3598,2492,1847,23,19,131,New,TRUE,Male,Non-Hispanic,ESI,MD,3
Matched White,3,3,2,2,3,2,3,White,3598,622,1847,23,19,131,New,TRUE,Male,Non-Hispanic,ESI,MD,3
Matched White,2,2,2,2,2,2,2,White,1514,5114,4790,23,19,135,New,FALSE,Male,Non-Hispanic,ESI,PHD,3
Matched White,5,3,3,4,5,1,5,White,1514,1532,4790,23,19,135,New,FALSE,Male,Non-Hispanic,ESI,PHD,3
Matched White,7,5,2,5,7,2,5,White,1514,947,4790,23,19,135,New,FALSE,Male,Non-Hispanic,ESI,PHD,3
Random White,6,3,3,6,7,3,ND,White,997,6082,1270,14,8,116,New,FALSE,Female,Non-Hispanic,Experienced,PHD,3
Random White,4,3,2,3,5,1,ND,White,997,3719,1270,14,8,116,New,FALSE,Female,Non-Hispanic,Experienced,PHD,3
Random White,3,2,2,2,4,2,ND,White,997,4893,1270,14,8,116,New,FALSE,Female,Non-Hispanic,Experienced,PHD,3
