"","b1","b2","b3","b4","b5","b6.1","b6.2","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","b17","b18","b19","b20","b21","b22","b23","b24.1","b24.2","b25","b26","b27","b28","b29","b30","b31","b32"
"1",0,1,1,1,0,0,2,0,1,3,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,1,0,0,0
"2",2,1,1,1,1,1,2,4,1,3,1,1,1,0,1,1,2,2,1,1,2,1,0,1,0,0,1,1,1,4,1,1,1,0
"3",1,1,1,1,0,0,2,1,1,3,1,1,1,0,0,1,2,1,1,0,1,1,0,1,0,0,0,0,0,2,1,0,1,0
"4",2,1,1,1,1,1,2,4,1,3,1,1,1,0,1,1,1,2,1,0,1,1,1,1,1,1,1,0,1,3,2,1,1,1
"5",2,1,0,1,0,0,0,2,1,3,0,1,1,1,0,1,0,2,0,1,1,0,0,0,0,0,1,1,1,3,2,1,1,0
"6",2,0,1,1,0,0,0,2,1,0,1,0,1,1,0,1,1,1,1,0,2,1,1,1,0,0,1,1,0,1,1,1,1,0
"7",2,1,1,0,1,0,2,1,1,3,1,1,1,0,1,0,2,0,0,1,2,1,0,1,0,0,1,1,1,0,0,1,1,0
"8",1,0,1,1,0,0,0,1,0,3,0,0,1,0,1,0,2,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0
"9",0,1,1,1,1,1,2,4,1,3,0,1,1,1,1,1,1,2,1,1,2,1,1,1,0,0,1,1,1,4,3,1,1,0
"10",1,1,1,1,1,0,2,4,1,0,0,0,1,1,1,1,2,0,0,0,2,1,0,0,1,1,1,1,1,2,0,1,1,0
"11",1,1,0,1,0,0,1,4,1,0,0,1,0,1,1,1,1,2,1,0,2,1,0,1,0,0,1,1,0,4,1,1,0,0
"12",1,0,0,1,0,0,1,1,0,3,0,0,1,0,0,1,2,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0
"13",2,1,0,1,1,0,0,0,1,3,2,1,1,1,1,0,2,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0
"14",2,1,0,1,1,1,2,4,1,3,0,0,1,1,1,1,2,2,1,0,2,1,1,1,1,1,1,1,1,4,2,1,1,0
"15",1,1,1,1,1,0,2,4,1,3,0,1,0,1,1,1,1,2,0,1,2,1,1,0,1,1,1,1,1,4,3,1,1,0
"16",1,0,0,1,0,0,2,3,1,3,0,1,1,1,0,0,0,2,0,1,2,1,1,0,0,0,1,1,1,1,2,1,1,1
"17",2,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,2,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"18",1,0,0,1,0,0,2,1,0,3,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1
"19",2,1,1,1,0,0,2,2,1,3,0,1,1,0,1,1,0,2,1,1,2,0,1,1,0,0,1,1,1,2,3,1,1,1
"20",2,1,0,0,1,0,2,4,1,3,1,1,1,1,1,1,2,2,1,0,1,1,1,1,1,1,0,1,1,2,1,1,1,1
"21",1,1,0,0,0,0,1,4,1,3,1,1,1,1,0,0,2,2,1,1,2,0,1,0,0,0,1,1,0,0,2,1,1,0
"22",1,1,1,1,1,0,2,4,1,3,1,1,1,0,1,1,2,2,0,1,2,1,1,0,1,1,1,1,1,4,3,1,1,0
"23",2,1,1,1,0,0,1,2,1,0,0,1,1,0,0,1,2,2,0,1,2,0,1,0,1,0,1,1,1,2,1,1,1,0
"24",2,1,1,1,1,1,2,4,1,3,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,4,3,1,1,1
"25",2,1,1,1,1,0,2,1,1,3,1,1,1,0,1,0,1,2,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0
"26",1,1,1,0,0,1,2,4,1,3,1,0,1,1,1,0,1,2,1,1,2,1,1,1,0,1,1,1,1,3,3,1,1,0
"27",2,1,1,1,0,0,0,4,1,3,1,1,1,1,0,0,1,2,0,1,2,0,0,0,1,1,1,1,1,0,2,1,1,1
"28",1,1,1,1,1,1,2,2,1,3,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,4,3,0,1,1
"29",1,0,0,1,1,0,2,3,1,3,1,0,1,1,0,0,1,2,1,0,2,1,0,0,0,0,0,1,1,2,2,0,1,0
"30",2,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,2,2,1,1,0,1,1,1,0,0,1,0,1,2,3,1,0,1
"31",1,1,0,0,0,0,2,2,1,3,0,1,1,0,1,1,2,2,1,0,2,1,1,1,1,1,1,1,1,1,3,1,1,0
"32",2,0,1,1,0,1,2,3,1,3,0,0,1,1,1,1,0,2,1,1,2,1,0,1,1,1,1,1,1,3,1,1,1,0
"33",1,1,0,1,0,0,2,4,1,0,2,1,1,1,1,1,2,2,1,0,2,1,1,1,1,1,1,1,1,4,3,1,1,0
"34",2,1,1,1,1,1,2,2,1,0,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,1,1,1,4,3,1,1,0
"35",2,1,0,1,0,0,2,3,1,3,1,1,1,0,1,1,1,1,1,0,2,1,0,0,0,0,1,1,1,3,1,1,1,0
"36",0,1,1,1,0,0,1,1,0,3,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,2,1,1,0
"37",1,1,1,1,1,0,2,3,1,0,0,0,1,1,1,0,2,2,1,1,1,1,1,0,0,0,1,1,1,2,3,1,1,1
"38",2,1,1,1,1,0,2,2,1,0,1,1,0,0,1,1,2,2,0,0,2,1,1,0,0,0,1,1,1,2,1,1,1,0
"39",2,1,1,1,1,0,2,4,1,3,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,4,3,1,1,1
"40",0,0,0,1,1,0,1,2,0,3,0,0,1,0,1,0,1,2,1,0,2,1,1,0,0,1,1,1,1,4,3,0,1,0
"41",0,0,1,1,0,0,0,2,1,3,0,1,1,1,1,1,1,2,1,0,2,1,1,0,1,1,1,1,0,4,2,1,1,1
"42",2,1,1,1,1,0,2,2,1,3,1,1,1,1,1,1,2,2,1,1,2,1,0,1,1,1,1,1,1,4,3,1,1,0
"43",1,1,0,0,1,0,2,3,1,3,0,1,1,1,0,0,1,2,1,1,1,0,1,1,0,0,1,0,1,3,0,0,1,0
"44",1,1,1,1,0,0,2,1,1,3,1,0,1,1,0,1,2,2,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0
"45",1,1,1,1,0,0,2,2,1,3,0,1,1,1,1,1,2,2,0,0,2,1,0,1,0,0,1,1,1,1,1,1,1,0
"46",1,1,1,0,0,0,2,4,1,3,1,1,1,1,1,1,2,2,0,1,2,1,1,1,0,0,1,1,1,1,3,1,0,1
